repo_id,model,mse,param_min_sample_split,param_min_sample_leaf,param_max_depth,param_bic_factor,param_min_samples_split,param_min_samples_leaf,param_ccp_alpha
1,PILOT_Base,5.270753760992612,40.0,1.0,15,1.0,,,
1,CART,5.385040577564795,,,9,,40.0,10.0,0.005
183,PILOT_Base,0.02134412626096771,40.0,20.0,3,1.0,,,
183,CART,0.025119195874817642,,,6,,10.0,20.0,0.0
186,PILOT_Base,0.4989309924583953,10.0,1.0,9,1.0,,,
186,CART,0.5631424082656777,,,6,,20.0,5.0,0.001
275,PILOT_Base,3538.6879101270333,20.0,20.0,18,1.0,,,
275,CART,4920.366093096488,,,18,,20.0,1.0,0.0
291,PILOT_Base,8.40321424044746,2.0,1.0,18,1.0,,,
291,CART,5.8230713715905225,,,18,,2.0,1.0,0.001
999,PILOT_Base,0.004915649974127801,2.0,1.0,18,1.0,,,
999,CART,0.005398988078420629,,,6,,10.0,20.0,0.0
